Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
1000genome-chameleon-2ch-250k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-2ch-250k-001,2,1275810.135445,1337059.500678,1275810.135445,1383556.630422,2704.274142,2705.865492,2704.274142,2710.218244
1000genome-chameleon-2ch-250k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-2ch-250k-001,4,1368419.998747,1416742.887889,1368419.998747,1448867.666075,1406.255257,1434.027727,1406.255257,1445.061679
1000genome-chameleon-2ch-250k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-2ch-250k-001,8,1420836.263330,1465319.372965,1420836.263330,1512863.375611,749.838527,775.777501,749.838527,812.619656
1000genome-chameleon-2ch-250k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-2ch-250k-001,16,1449984.243675,1502610.025380,1449984.243675,1561761.467351,508.869184,510.241629,508.869184,510.973766
1000genome-chameleon-4ch-250k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-4ch-250k-001,2,3611480.568715,3746778.425660,3611480.568715,3820630.025039,7161.581517,7164.469855,7161.581517,7166.707980
1000genome-chameleon-4ch-250k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-4ch-250k-001,4,3513557.476917,3738974.176935,3513557.476917,3866166.527223,3592.887912,3611.530999,3592.887912,3623.683013
1000genome-chameleon-4ch-250k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-4ch-250k-001,8,3795044.034766,3907519.771687,3795044.034766,4009702.083949,1841.755613,1861.964039,1841.755613,1882.283634
1000genome-chameleon-4ch-250k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-4ch-250k-001,16,3810306.761725,3907407.720411,3810306.761725,4028204.884770,1004.251690,1024.592999,1004.251690,1043.851388
1000genome-chameleon-12ch-250k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-12ch-250k-001,2,9158383.929292,9279662.109765,9158383.929292,9449313.068096,17111.841808,17116.224205,17111.841808,17120.848755
1000genome-chameleon-12ch-250k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-12ch-250k-001,4,9210095.695516,9294089.145519,9210095.695516,9395574.715542,8566.869910,8584.428406,8566.869910,8596.652777
