Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
1000genome-chameleon-2ch-250k-001-hosts-2-multi-energy-mono,multi-energy-mono,1000genome-chameleon-2ch-250k-001,2,1554593.581174,1554621.857400,1554593.581174,1554658.669473,2703.656774,2703.711856,2703.656774,2703.771542
1000genome-chameleon-2ch-250k-001-hosts-4-multi-energy-mono,multi-energy-mono,1000genome-chameleon-2ch-250k-001,4,1553431.454634,1563522.913701,1553431.454634,1579500.725181,1365.952801,1386.621482,1365.952801,1405.741644
1000genome-chameleon-2ch-250k-001-hosts-8-multi-energy-mono,multi-energy-mono,1000genome-chameleon-2ch-250k-001,8,1564856.337897,1596578.216890,1564856.337897,1637089.049784,743.250204,781.107481,743.250204,814.988733
1000genome-chameleon-2ch-250k-001-hosts-16-multi-energy-mono,multi-energy-mono,1000genome-chameleon-2ch-250k-001,16,1648056.750751,1688963.099901,1648056.750751,1728306.480483,475.973447,489.259319,475.973447,505.135547
1000genome-chameleon-4ch-250k-001-hosts-2-multi-energy-mono,multi-energy-mono,1000genome-chameleon-4ch-250k-001,2,4116369.570929,4117351.816828,4116369.570929,4118018.795692,7159.276830,7160.845848,7159.276830,7162.120127
1000genome-chameleon-4ch-250k-001-hosts-4-multi-energy-mono,multi-energy-mono,1000genome-chameleon-4ch-250k-001,4,3938064.540318,4104688.787394,3938064.540318,4130757.658421,3591.728977,3600.308433,3591.728977,3606.109180
1000genome-chameleon-4ch-250k-001-hosts-8-multi-energy-mono,multi-energy-mono,1000genome-chameleon-4ch-250k-001,8,4114174.661196,4141162.817912,4114174.661196,4181719.359720,1838.719344,1870.866370,1838.719344,1899.596481
1000genome-chameleon-4ch-250k-001-hosts-16-multi-energy-mono,multi-energy-mono,1000genome-chameleon-4ch-250k-001,16,4125397.216925,4208752.785239,4125397.216925,4290249.149874,1001.649770,1020.871522,1001.649770,1046.025417
1000genome-chameleon-12ch-250k-001-hosts-2-multi-energy-mono,multi-energy-mono,1000genome-chameleon-12ch-250k-001,2,9837473.325004,9838673.639647,9837473.325004,9839975.116474,17109.073578,17110.882136,17109.073578,17113.044689
1000genome-chameleon-12ch-250k-001-hosts-4-multi-energy-mono,multi-energy-mono,1000genome-chameleon-12ch-250k-001,4,9602723.559402,9799186.952941,9602723.559402,9854835.195215,8564.288232,8578.787475,8564.288232,8590.147908
1000genome-chameleon-12ch-250k-001-hosts-8-multi-energy-mono,multi-energy-mono,1000genome-chameleon-12ch-250k-001,8,9832092.027487,9861818.368508,9832092.027487,9890523.648700,4320.210825,4343.206936,4320.210825,4362.710993
1000genome-chameleon-12ch-250k-001-hosts-16-multi-energy-mono,multi-energy-mono,1000genome-chameleon-12ch-250k-001,16,9816176.107567,9859817.007395,9816176.107567,9921911.173777,2194.773393,2226.889649,2194.773393,2250.598095
1000genome-chameleon-18ch-250k-001-hosts-2-multi-energy-mono,multi-energy-mono,1000genome-chameleon-18ch-250k-001,2,14915666.055175,14916963.488713,14915666.055175,14918550.160898,25940.418336,25942.935067,25940.418336,25947.096516
